"Story","Title","Result","Date","Stability","Duration (s)"
"Login Wappi","Verificar inicio y cierre de sesión.","SUCCESS","2021-09-09T23:13:36.82-05:00[America/Bogota]","0.0","124.12"
"Login Wappi","Verificar mensaje de error en contraseña inválida de inicio de sesión.","SUCCESS","2021-09-09T23:15:40.945-05:00[America/Bogota]","0.0","83.16"
"Login Wappi","Verificar mensaje de error en usuario inválida de inicio de sesión.","SUCCESS","2021-09-09T23:17:04.111-05:00[America/Bogota]","0.0","81.82"
"Login Wappi","Verificación de no ingresar caracteres especiales en usuario.","SUCCESS","2021-09-09T23:18:25.938-05:00[America/Bogota]","0.0","74.89"
"Pedir una orden con y sin el cupón de bienvenida Wappi","Registrar una orden sin el cupón de bienvenida.","SUCCESS","2021-09-09T23:19:42.449-05:00[America/Bogota]","0.0","57.87"
"Pedir una orden con y sin el cupón de bienvenida Wappi","Registrar una orden con el cupón de bienvenida.","SUCCESS","2021-09-09T23:20:40.326-05:00[America/Bogota]","0.0","72.03"
"Pedir una orden con y sin el cupón de bienvenida Wappi","Validación de mensaje de error en cupón inválido.","SUCCESS","2021-09-09T23:21:52.363-05:00[America/Bogota]","0.0","57.55"
"Pedir una orden con y sin el cupón de bienvenida Wappi","Validación de mensaje de error en cupón inválido al utilizarlo más de dos veces.","SUCCESS","2021-09-09T23:22:49.919-05:00[America/Bogota]","0.0","96.45"
"Actualización de información dentro del perfil Wappi","Actualizar de información dentro del perfil.","SUCCESS","2021-09-09T23:24:35.88-05:00[America/Bogota]","0.0","18.94"
"Actualización de información dentro del perfil Wappi","Verificar mensaje de obligatorio en campos de formulario de actualización de perfil","SUCCESS","2021-09-09T23:24:54.826-05:00[America/Bogota]","0.0","69.9"
